Name                                             ;Stufe;Schule      ;Zeit                          ;Entfernung                                        ;Ziel/effekt/Bereich                                                                                                                                   ;Wirkungsdauer                                                                                    ;Komponenten                                                                                         ;Rettungswurf                                                                          ;Zauberresistenz                           ;Quelle /Seite
Welpengestalt                                    ;3    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Tier oder magische Bestie                                                                                                                           ;1 Runde/ Stufe                                                                                   ;V, G, M (eine Stoffpuppe)                                                                           ;Zähigkeit, keine Wirkung und Wilen, speziell, s. Text                                 ;Ja                                        ;ARK 247
Windumhang                                       ;3    ;Bannzauber  ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine lebende Kreatur                                                                                                                                  ;1 Minute/ Stufe                                                                                  ;V, G                                                                                                ;Zähigkeit, keine Wirkung (harmlos)                                                    ;Ja (harmlos)                              ;EXP 255
Windwall                                         ;3    ;Hervorrufung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Wand von bis zu 3 m Länge/ Stufe und bis zu 1,50 m Höhe/ Stufe (F)                                                                                    ;1 Runde/ Stufe                                                                                   ;V, G, M/GF (ein kleiner Fächer und eine exotische Feder)                                            ;Nein (siehe Text)                                                                     ;Ja                                        ;GRW 364
Winzige Hütte                                    ;3    ;Hervorrufung;1 Standard-Aktion             ;6m                                                ;Sphäre mit einem Radius von 6 m, deren Zentrum an deinem Aufenthaltsort liegt                                                                         ;2 Stunden/ Stufe (A)                                                                             ;V, G, M (eine kleine Kristallperle                                                                  ;Nein                                                                                  ;Nein                                      ;GRW 365
Würgende Haare                                   ;3    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Kreatur                                                                                                                                             ;Konzentration, bis zu 1 Runde/ Stufe                                                             ;V, G                                                                                                ;Keiner                                                                                ;Ja                                        ;ARM 248
Wut                                              ;3    ;Verzauberung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Eine bereitwillige Kreatur pro 3 Stufen, keine zwei beliebigen Ziele dürfen weiter als 9 m voneinander entfernst sein                                 ;Konzentration +1 Runde/ Stufe (A)                                                                ;V, G                                                                                                ;Nein                                                                                  ;Ja                                        ;GRW 367
Zahllose Augen                                   ;3    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Stunde/ Stufe                                                                                  ;V, G                                                                                                ;Willen, keine Wirkung (harmlos)                                                       ;Ja                                        ;ARM 248
Zauberfieber                                     ;3    ;Nekromantie ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Kreatur                                                                                                                                             ;Augenblicklich                                                                                   ;V, G                                                                                                ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;ARM 248
Zungen                                           ;3    ;Erkenntnis  ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;10 Min./ Stufe                                                                                   ;V, M/GF (das Lehmmodell eines Zikkurats)                                                            ;Willen, keine Wirkung (harmlos)                                                       ;Nein                                      ;GRW 370
Zurückkehrende Waffe, Gemeinschaftliche          ;3    ;Beschwörung ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;Waffen, die geworfen werden können                                                                                                                    ;1 Min. /Stufe                                                                                    ;V, G                                                                                                ;Willen, keine Wirkung (harmlos, Gegenstand)                                           ;Ja (harmlos, Gegenstand)                  ;ARK 249
Zwielichtsklinge                                 ;3    ;Hervorrufung;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Schwebende Klinge aus Energie                                                                                                                         ;1 Runde/ Stufe (A)                                                                               ;V, G, F (ein kleines Messer)                                                                        ;Nein                                                                                  ;Ja                                        ;EXP 256
Ansteckung                                       ;4    ;Nekromantie ;1 Standard-Aktion             ;Berührung                                         ;Berührte lebende Kreatur                                                                                                                              ;Augenblicklich                                                                                   ;V, G                                                                                                ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;GRW 243
Arkanes Auge                                     ;4    ;Erkenntnis  ;10 Minuten                    ;Unbegrenzt                                        ;Magischer Sensor                                                                                                                                      ;1 Min./ Stufe (A)                                                                                ;V, G, M (ein Stückchen Fledermausfell)                                                              ;Nein                                                                                  ;Nein                                      ;GRW 244
Ausspähung                                       ;4    ;Erkenntnis  ;1 Stunde                      ;Siehe Text                                        ;Magischer Sensor                                                                                                                                      ;1 Min./ Stufe                                                                                    ;V, G, M/GF (eine Wasserfläche), F (ein Silberspiegel im Wert von 1.000 GM)                          ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 248
Ausspähung entdecken                             ;4    ;Erkenntnis  ;1 Standard-Aktion             ;12m                                               ;Ausströmung in einem Radius von 12 m, die von dir ausgeht                                                                                             ;24 Stunden                                                                                       ;V, G, M (ein Stück Spiegel und ein Miniaturhörrohr aus Messing)                                     ;Nein                                                                                  ;Nein                                      ;GRW 249
Benannte Kugel                                   ;4    ;Erkenntnis  ;1 Standard-Aktion             ;Berührung                                         ;1 Stück Munition oder 1 Wurfwaffe                                                                                                                     ;10 Min./Stufe oder bis zur Entladung                                                             ;V, G, M/GF (ein Gegenstand der ausgewählten Kreatur oder Kreaturenart)                              ;Willen, keine Wirkung (harmlos, Gegenstand)                                           ;Ja (harmlos, Gegenstand)                  ;ARK 224
Bestiengestalt II                                ;4    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Min./ Stufe (A)                                                                                ;V, G, M (ein Teil der Kreatur, in die du dich verwandeln Möchtest)                                  ;Nein                                                                                  ;Nein                                      ;GRW 251
Blitzkugeln                                      ;4    ;Hervorrufung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Zwei oder mehr Kugeln mit 1,50 m Durchmesser                                                                                                          ;1 Runde/ Stufe                                                                                   ;V, G, M/GF (ein kleiner Eisenring)                                                                  ;Reflex, keine Wirkung                                                                 ;Ja                                        ;EXP 208
Bösartigkeit                                     ;4    ;Verzauberung;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Kreatur                                                                                                                                             ;1 Tag/ Stufe                                                                                     ;V, G, F (Türkispulver im Wert von 150 GM)                                                           ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARM 210
Brüllen                                          ;4    ;Hervorrufung;1 Standard-Aktion             ;9m                                                ;Kegelförmige Explosion                                                                                                                                ;Augenblicklich                                                                                   ;V                                                                                                   ;Zähigkeit, teilweise oder Reflex, keine Wirkung (Gegenstand)(siehe Text)              ;Ja (Gegenstand)                           ;GRW 256
Detonation                                       ;4    ;Hervorrufung;1 Standard-Aktion             ;9m                                                ;Ausbreitung mit 9 m Radius, von dir ausgehend                                                                                                         ;1 Runde, dann augenblicklich                                                                     ;"V, G, M (zwei Phiolen; eine mit Säure, die andere eine alkalische Lösung im Gesamtwert von 50 GM)" ;Reflex, halbiert                                                                      ;Ja                                        ;EXP 211
Dimensionsanker                                  ;4    ;Bannzauber  ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Strahl                                                                                                                                                ;1 Min./ Stufe                                                                                    ;V, G                                                                                                ;Nein                                                                                  ;Ja (Gegenstand)                           ;GRW 259
Dimensionstür                                    ;4    ;Beschwörung ;1 Standard-Aktion             ;Lang (120m + 12m/ Stufe)                          ;Du und der berührte Gegenstand oder andere bereitwillige berührte Kreaturen                                                                           ;Augenblicklich                                                                                   ;V                                                                                                   ;Nein und Willen, keine Wirkung (Gegenstand)                                           ;Nein und ja (Gegenstand)                  ;GRW 260
Drachenodem                                      ;4    ;Hervorrufung;1 Standard-Aktion             ;9m oder 18m                                       ;Kegelförmige Explosion oder Linie                                                                                                                     ;Augenblicklich                                                                                   ;V, G,M (eine Drachenschuppe)                                                                        ;Reflex, halbiert                                                                      ;Ja                                        ;EXP 211
Eins mit dem Vertrauten                          ;4    ;Nekromantie ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Dein Vertrauter                                                                                                                                       ;1 Stunde/ Stufe oder bis du in deinen Körper zurück kehrst                                       ;V, G                                                                                                ;Willen, keine Wirkung (harmlos)                                                       ;Ja                                        ;ARM 212
Eissturm                                         ;4    ;Hervorrufung;1 Standard-Aktion             ;Lang (120m + 12m/ Stufe)                          ;Zylinder (Radius: 6 m, Höhe: 6 m)                                                                                                                     ;1 Runde/ Stufe (A)                                                                               ;V, G, M/GF (Staub und Wasser)                                                                       ;Nein                                                                                  ;Ja                                        ;GRW 264
Eiswand                                          ;4    ;Hervorrufung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Verankerte, glatte Eiswand mit einer Fläche von 1 Würfel pro Stufe mit jeweils 3 m Kantenlänge, oder eine Halbkugel aus Eis mit einem Radius von bis z;1 Min/ Stufe                                                                                     ;V, G, M (ein Stückchen Quarz- oder Bergkristall)                                                    ;Reflex, keine Wirkung (siehe Text)                                                    ;Ja                                        ;GRW 264
Elementargestalt I                               ;4    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Min./ Stufe (A)                                                                                ;V, G, M (das Element, dessen Form du annehmen möchtest)                                             ;Nein                                                                                  ;Nein                                      ;GRW 265
Energiefesseln                                   ;4    ;Hervorrufung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;1 Kreatur                                                                                                                                             ;1 Min/ Stufe                                                                                     ;V, G                                                                                                ;Reflex, keine Wirkung                                                                 ;Ja                                        ;ARM 213
Entkräftung                                      ;4    ;Nekromantie ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Strahl aus negativer Energie                                                                                                                          ;Augenblicklich                                                                                   ;V, G                                                                                                ;Nein                                                                                  ;Ja                                        ;GRW 267
Entsetzliches Bedauern                           ;4    ;Verzauberung;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 lebende Kreatur                                                                                                                                     ;1 Runde/ Stufe                                                                                   ;V, G                                                                                                ;Willen, teilweise (siehe Text)                                                        ;Ja                                        ;ARM 214
Externare quälen                                 ;4    ;Hervorrufung;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 beschworener Externar oder Elementar                                                                                                                ;1 Runde                                                                                          ;V, G                                                                                                ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;ARM 215
Fehlfunktion                                     ;4    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 Konstrukt                                                                                                                                           ;1 Runde/ Stufe                                                                                   ;V, G                                                                                                ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;ARM 215
Fels- und Ascheregen                             ;4    ;Hervorrufung;1 Standard-Aktion             ;Lang (120 m + 12 m/ Stufe)                        ;Zylinder (6m Radius, 12m hoch)                                                                                                                        ;1 Runde/ Stufe                                                                                   ;V, G, M, GF (Obsidian und Asche)                                                                    ;Nein                                                                                  ;Ja                                        ;ARM 215
Fester Nebel                                     ;4    ;Beschwörung ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Nebel verbreitet sich in einem Bereich mit einem Radius von 6 m und bis in 6 m Höhe.                                                                  ;1 Min./ Stufe                                                                                    ;V, G, M (gemahlene Erbsen und ein Tierhuf)                                                          ;Nein                                                                                  ;Nein                                      ;GRW 271
Feuerfalle                                       ;4    ;Bannzauber  ;10 Minuten                    ;Berührung                                         ;Berührter Gegenstand                                                                                                                                  ;Permanent, bis der Zauber ausgelöst wird (A)                                                     ;V, G, M (Goldstaub im Wert von 25 GM)                                                               ;Reflex, halbiert (siehe Text)                                                         ;Ja                                        ;GRW 272
Feuerschild                                      ;4    ;Hervorrufung;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Runde/ Stufe (A)                                                                               ;V, G, M (Phosphor für das Wärmeschild, ein Leuchtkäfer oder ein Glühwürmchen für das Kälteschild)   ;Nein                                                                                  ;Nein                                      ;GRW 273
Feuerwand                                        ;4    ;Hervorrufung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;"Blickdichte Wand aus Flammen von bis zu 6m Länge/ Stufe oder ein Ring aus Feuer mit einem Radius von bis zu 1,50 m/2 Stufen; jede Form ist 6m hoch"  ;Konzentration + 1 Runde/ Stufe                                                                   ;V, G, M/GF (ein Stückchen Phosphor)                                                                 ;Nein                                                                                  ;Ja                                        ;GRW 273
Flammenfontäne                                   ;4    ;Verwandlung ;1 Standard-Aktion             ;Lang (120m + 12m/ Stufe)                          ;Eine Feuerquelle, bis zur Größe eines Würfels mit 6 m Kantenlänge                                                                                     ;Augenblicklich                                                                                   ;V, G, M (eine Feuerquelle)                                                                          ;Willen, keine Wirkung und Reflex, keine Wirkung (siehe Text)                          ;Nein                                      ;EXP 220
Fleischwurmbefall                                ;4    ;Beschwörung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Runde/ Stufe                                                                                   ;V, G                                                                                                ;Zähigkeit, teilweise                                                                  ;Ja                                        ;ARM 216
Fluch                                            ;4    ;Nekromantie ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;Permanent                                                                                        ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 276
Fluch brechen                                    ;4    ;Bannzauber  ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur oder berührter Gegenstand                                                                                                            ;Augenblicklich                                                                                   ;V, G                                                                                                ;Willen, keine Wirkung (harmlos)                                                       ;Ja (harmlos)                              ;GRW 276
Fluch der Zauberplage                            ;4    ;Bannzauber  ;1 Runde                       ;Mittel (30m + 3m/ Stufe)                          ;1 Kreatur                                                                                                                                             ;10 Min./ Stufe                                                                                   ;V, G, F (Blei- und Platinpulver im wert von 250 GM)                                                 ;Willen, keine Wirkung                                                                 ;Nein                                      ;ARM 216
Furcht                                           ;4    ;Nekromantie ;1 Standard-Aktion             ;9m                                                ;Kegelförmige Explosion                                                                                                                                ;1 Runde/ Stufe oder 1 Runde (siehe Text)                                                         ;V, G, M (das Herz eines Huhns oder eine weiße Feder)                                                ;Willen, teilweise                                                                     ;Ja                                        ;GRW 277
Geisterross, Gemeinschaftliches                  ;4    ;Beschwörung ;10 Minuten                    ;0 m                                               ;Eine quasi reale, pferdeähnliche Kreatur                                                                                                              ;1 Stunde/Stufe (A)                                                                               ;V, G                                                                                                ;Nein                                                                                  ;Nein                                      ;ARK 230
Geladene Spiegelbilder                           ;4    ;Illusion    ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Min. /Stufe                                                                                    ;V, G                                                                                                ;Keiner                                                                                ;Siehe Text                                ;ARK 230
Herbeigezauberte Kreatur konrollieren            ;4    ;Verzauberung;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;1 herbeigezauberte Kreatur                                                                                                                            ;1 Runde/ Stufe                                                                                   ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARM 222
Illusionswand                                    ;4    ;Illusion    ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Bild von den Ausmaßen 30 cm x 3 m x 3 m                                                                                                               ;Permanent                                                                                        ;V, G                                                                                                ;Willen, anzweifeln (wenn mit der Illusion interagiert wird)                           ;Nein                                      ;GRW 291
Kind der Wellen                                  ;4    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Stunde/ Stufe                                                                                  ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;ja                                        ;ARM 224
Kreatur aufspüren                                ;4    ;Erkenntnis  ;1 Standard-Aktion             ;Lang (120m + 12m/ Stufe)                          ;Kreis mit dir im Zentrum und einem Radius von 120 m + 12m/ Stufe                                                                                      ;10 Min./ Stufe                                                                                   ;V, G, M (Fell von einem Bluthund)                                                                   ;Nein                                                                                  ;Nein                                      ;GRW 294
Mächtige Dunkelsicht                             ;4    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Stunde/ Stufe                                                                                  ;V, G, M (Ein Stückchen getrocknete Karotte oder ein Achat)                                          ;Willen, keine Wirkung (harmlos)                                                       ;Ja                                        ;ARM 211
Mächtige Falsches Leben                          ;4    ;Nekromantie ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Stunde/ Stufe                                                                                  ;V, G, M (Ein Tropfen Blut)                                                                          ;Nein                                                                                  ;Nein                                      ;ARM 215
Mächtige Unsichtbarkeit                          ;4    ;Illusion    ;1 Standard-Aktion             ;Persönlich oder Berührung                         ;Du oder eine berührte Kreatur                                                                                                                         ;1 Runde/ Stufe (A)                                                                               ;V, G                                                                                                ;Willen, keine Wirkung (harmlos)                                                       ;Ja (harmlos)                              ;GRW 349
Magisches Belagerungsgerät, Mächtiges            ;4    ;Verwandlung ;1 Standard-Aktion             ;Berührung                                         ;1 berührtes Belagerungsgerät                                                                                                                          ;1 Stunde/ Stufe                                                                                  ;V. G. M/GF (Schwarzpulver)                                                                          ;Willen, keine Wirkung (harmlos, Gegenstand)                                           ;Ja (harmlos, Gegenstand)                  ;ARK 236
Massen- Benommenheit                             ;4    ;Verzauberung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;1 oder mehr humanoide Kreaturen, von denen keins mehr als 9 m von der anderen entf. sein darf                                                         ;1 Runde                                                                                          ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;ARM 208
Massen- Person vergrößern                        ;4    ;Verwandlung ;1 Runde                       ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine humanoide Kreatur/ Stufe, keine zwei beliebige Ziele dürfen weiter als 9 m voneinander entfernt sein                                             ;1 Min./ Stufe                                                                                    ;V, G, M (Eisenpulver)                                                                               ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;GRW 312
Massen- Person verkleinern                       ;4    ;Verwandlung ;1 Runde                       ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine humanoide Kreatur/ Stufe, keine zwei beliebige Ziele dürfen weiter als 9 m voneinander entfernt sein                                             ;1 Min./ Stufe                                                                                    ;V, G, M (ein wenig Eisenpulver)                                                                     ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 313
Mondsucht                                        ;4    ;Verzauberung;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Eine humanoide Kreatur                                                                                                                                ;1 Runde/ Stufe                                                                                   ;V, G, M (eine Prise pulverisierter Mondstein)                                                       ;Willen, keine Wirkung                                                                 ;Ja                                        ;EXP 232
Monster bezaubern                                ;4    ;Verzauberung;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine lebende Kreatur                                                                                                                                  ;1 Tag/ Stufe                                                                                     ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 307
Monster herbeizaubern IV                         ;4    ;Beschwörung ;1 Runde                       ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine oder 1W3 oder 1W4+1 beschworene Kreatur (siehe Text)                                                                                             ;1 Runde/ Stufe                                                                                   ;V, G, F/GF (ein kleiner Beutel und eine kleine Kerze)                                               ;Nein                                                                                  ;Nein                                      ;GRW 308
Monstergestalt II                                ;4    ;Verwandlung ;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Min./ Stufe (A)                                                                                ;V, G, M (ein Stück der Kreatur, deren Gestalt du annehmen willst)                                   ;Keiner                                                                                ;Nein                                      ;ARM 228
Niedere Erschaffung                              ;4    ;Beschwörung ;1 Minute                      ;0 m                                               ;Unbeaufsichtigter nicht magischer Gegenstand aus nicht lebender, pflanzlicher Materie                                                                 ;1 Stunde/ Stufe (F)                                                                              ;V, G, M (ein kleines Stück jener Materie, aus der du mit Hilfe von Niederer Erschaffung einen Gegens;Nein                                                                                  ;Nein                                      ;GRW 310
Obsidianscholle                                  ;4    ;Verwandlung ;1 Standard-Aktion             ;Nah (7,50 m + 1,50 m/2 Stufen)                    ;Explosion mit 6 m Radius                                                                                                                              ;Augenblicklich                                                                                   ;V, G, M/GF (ein kleines Stück Obsidian)                                                             ;Reflex, teilweise (Siehe Text)                                                        ;Nein                                      ;ARK 238
Phantomstreitwagen                               ;4    ;Beschwörung ;10 Minuten                    ;0 m                                               ;Ein quasi-realer Streitwagen mit Zuggespann                                                                                                           ;1 Stunde/Stufe (A)                                                                               ;V, G                                                                                                ;Keiner                                                                                ;Nein                                      ;ARK 238
Regenbogenmuster                                 ;4    ;Illusion    ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Bunte Lichter in einer Ausbreitung mit einem Radius von 6m                                                                                            ;Konzentration + 1 Runde/ Stufe (A)                                                               ;V (nur Barden), G, M (ein Stück Phosphor), F (ein Kristallprisma), siehe Text                       ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 317
Säuregrube                                       ;4    ;Beschwörung ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Ein Loch von 3 m x 3 m Größe, 3 m/2 Stufen tief (max. 30m)                                                                                            ;1 Runde + 1 Runde/ Stufe                                                                         ;V, G, M (ein Tropfen Säure), F (Miniaturschaufel im Wert von 10 GM)                                 ;Reflex, keine Wirkung (siehe Text)                                                    ;Nein                                      ;EXP 238
Säureschild                                      ;4    ;Hervorrufung;1 Standard-Aktion             ;Persönlich                                        ;Du                                                                                                                                                    ;1 Runde/ Stufe (A)                                                                               ;V, G, M (ein Stück einer Zitronenschale)                                                            ;Keiner                                                                                ;Ja                                        ;ARM 232
Schattenbeschwörung                              ;4    ;Illusion    ;1 Standard-Aktion             ;Siehe Text                                        ;Siehe Text                                                                                                                                            ;Siehe Text                                                                                       ;V, G                                                                                                ;Willen, anzweifeln (wenn mit der Illusion interagiert wird), verschieden, siehe Text  ;Ja, siehe Text                            ;GRW 321
Schattengang                                     ;4    ;Illusion    ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Du                                                                                                                                                    ;Augenblicklich                                                                                   ;V, G                                                                                                ;Keiner                                                                                ;Nein                                      ;ARM 233
Schattenprojektion                               ;4    ;Nekromantie ;1 Minute                      ;Persönlich                                        ;Du                                                                                                                                                    ;1 Stunde/ Stufe (A)                                                                              ;G                                                                                                   ;Nein                                                                                  ;Nein                                      ;EXP 238
Scheingelände                                    ;4    ;Illusion    ;10 Minuten                    ;Lang (120m + 12m/ Stufe)                          ;1 Würfel/ Stufe mit jeweils 9 m Kantenlänge (F)                                                                                                       ;2 Stunden/ Stufe (A)                                                                             ;V, G, M (ein Stein, ein Zweig und ein grünes Blatt)                                                 ;Willen, anzweifeln (falls mit Illusion interagiert)                                   ;Nein                                      ;GRW 322
